No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
124,WNC,38.27099,127.184967,4237440.557,341226.9118,1,0,N
154,WNC,38.261431,127.194481,4236363.572,342038.5519,1,0,N
93,WNC,38.291853,127.221962,4239692.894,344507.9247,2,0,F
94,WNC,38.288458,127.218041,4239322.726,344157.762,2,0,F
95,WNC,38.2835,127.215545,4238776.799,343928.8009,2,0,F
96,WNC,38.281353,127.214178,4238540.807,343804.5967,2,0,F
97,WNC,38.279274,127.212162,4238313.58,343623.7829,2,0,F
98,WNC,38.2789,127.200488,4238291.816,342601.8099,2,0,F
99,WNC,38.275284,127.195153,4237899.705,342127.313,2,0,F
100,WNC,38.271401,127.196118,4237467.152,342203.3982,2,0,F
101,WNC,38.27136,127.19827,4237458.905,342391.4969,2,0,F
102,WNC,38.271715,127.215669,4237468.809,343914.4123,2,0,F
103,WNC,38.270688,127.212617,4237359.954,343645.1875,2,0,F
104,WNC,38.264717,127.204085,4236711.858,342885.9504,2,0,F
105,WNC,38.292942,127.234572,4239792.593,345613.0538,2,0,F
106,WNC,38.294563,127.238544,4239965.853,345963.8682,2,0,F
107,WNC,38.296589,127.260235,4240154.711,347865.101,2,0,F
108,WNC,38.288937,127.261011,4239304.342,347916.9866,2,0,F
109,WNC,38.287576,127.260848,4239153.586,347899.8859,2,0,F
110,WNC,38.288063,127.269358,4239193.657,348645.1747,2,0,F
111,WNC,38.30051,127.267221,4240578.391,348484.137,2,0,F
112,WNC,38.290711,127.244023,4239529.336,346434.8826,2,0,F
113,WNC,38.259292,127.238585,4236051.781,345892.8724,2,0,F
114,WNC,38.265766,127.227972,4236787.958,344978.0597,2,0,F
115,WNC,38.264457,127.237574,4236626.583,345815.3694,2,0,F
116,WNC,38.261934,127.238345,4236345.339,345877.4375,2,0,F
117,WNC,38.266128,127.244811,4236800.002,346452.0555,2,0,F
118,WNC,38.262415,127.240708,4236394.855,346085.2206,2,0,F
