No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
1,WNC,38.275711,127.164653,4237999.502,339460.1161,4,2,F
2,WNC,38.272884,127.162686,4237689.237,339281.8152,2,0,F
3,WNC,38.269395,127.155823,4237314.038,338673.7507,2,0,F
4,WNC,38.270287,127.155241,4237414.042,338624.8047,2,0,F
5,WNC,38.265649,127.161261,4236888.821,339141.2282,4,2,F
6,WNC,38.268814,127.15717,4237247.179,338790.3267,1,0,N
7,WNC,38.268823,127.16397,4237236.289,339385.211,1,0,N
8,WNC,38.264597,127.150612,4236790.628,338207.1936,3,1,F
9,WNC,38.262288,127.154747,4236527.228,338563.8959,3,1,F
10,WNC,38.265664,127.15894,4236894.557,338938.2267,2,0,F
11,WNC,38.262571,127.162335,4236545.399,339228.3776,2,0,F
12,WNC,38.264503,127.148895,4236783.265,338056.7458,2,0,F
13,WNC,38.253025,127.136275,4235531.704,336926.9318,2,0,F
14,WNC,38.24919,127.142896,4235094.483,337497.7798,2,0,F
15,WNC,38.256384,127.140467,4235897.014,337301.2284,3,1,F
16,WNC,38.258533,127.139881,4236136.53,337254.8333,3,1,F
17,WNC,38.258901,127.142503,4236172.77,337485.0003,4,2,F
18,WNC,38.268745,127.132355,4237283.076,336619.1547,1,0,N
19,WNC,38.2653,127.13868,4236889.594,337164.8447,2,0,F
20,WNC,38.264768,127.137235,4236833.096,337037.2128,2,0,F
21,WNC,38.266786,127.133965,4237062.782,336755.659,2,0,F
22,WNC,38.271821,127.123676,4237639.796,335866.7462,2,0,F
23,WNC,38.270058,127.1305,4237432.017,336459.7742,2,0,F
24,WNC,38.270377,127.134343,4237460.668,336796.6929,2,0,F
25,WNC,38.269603,127.137306,4237369.495,337054.2584,2,0,F
26,WNC,38.269735,127.139056,4237381.096,337207.5958,2,0,F
27,WNC,38.267888,127.148924,4237158.84,338066.8171,2,0,F
28,WNC,38.269173,127.147378,4237304.148,337934.4359,3,1,F
29,WNC,38.267895,127.146306,4237164.233,337837.8322,3,1,F
