No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
172,WNC,38.288848,127.232347,4239341.948,345409.7643,6,1,N
173,WNC,38.300075,127.245057,4240566.64,346545.0093,6,2,N
174,WNC,38.298992,127.24693,4240443.299,346706.5632,3,1,F
175,WNC,38.294444,127.240181,4239949.847,346106.7205,3,1,F
176,WNC,38.299296,127.24658,4240477.646,346676.5623,2,0,F
177,WNC,38.283905,127.230031,4238797.269,345196.6798,2,0,F
178,WNC,38.284438,127.236804,4238845.121,345790.1937,2,0,F
179,WNC,38.284175,127.236138,4238817.056,345731.3808,2,0,F
180,WNC,38.28287,127.233422,4238676.734,345491.0388,2,0,F
181,WNC,38.284956,127.236435,4238903.285,345759.0748,2,0,F
182,WNC,38.302018,127.23296,4240802.359,345491.3064,3,1,F
183,WNC,38.293025,127.233606,4239803.321,345528.7474,3,1,F
184,WNC,38.300991,127.232055,4240690.001,345409.9695,3,1,F
185,WNC,38.301515,127.232192,4240747.845,345423.0665,2,0,F
186,WNC,38.301515,127.232192,4240747.845,345423.0665,2,0,F
187,WNC,38.297351,127.23545,4240280.297,345699.1636,2,0,F
188,WNC,38.303235,127.236469,4240931.607,345800.7005,13,3,N
189,WNC,38.299121,127.227183,4240490.657,344979.9258,5,2,N
190,WNC,38.241802,127.125756,4234304.862,335981.2534,4,2,F
191,WNC,38.264957,127.126979,4236872.265,336140.3252,2,0,F
192,WNC,38.263593,127.127774,4236719.481,336206.7709,2,0,F
193,WNC,38.256302,127.130423,4235905.659,336422.2173,2,0,F
194,WNC,38.252913,127.125105,4235538.96,335949.2408,2,0,F
195,WNC,38.251036,127.12798,4235325.587,336196.6183,2,0,F
196,WNC,38.24974,127.128787,4235180.339,336264.3271,2,0,F
197,WNC,38.251477,127.123491,4235382.52,335804.8175,2,0,F
198,WNC,38.254967,127.12988,4235758.478,336371.7398,2,0,F
199,WNC,38.260898,127.131317,4236414.147,336510.7588,4,2,F
200,WNC,38.260481,127.126638,4236376.176,336100.4413,4,2,F
201,WNC,38.259045,127.126582,4236216.87,336092.2713,4,2,F
202,WNC,38.253547,127.128203,4235603.861,336221.7573,4,2,F
203,WNC,38.249662,127.119771,4235187.735,335475.182,4,2,F
204,WNC,38.25241,127.12725,4235479.421,336135.8513,4,2,F
205,WNC,38.253129,127.125895,4235561.633,336018.9212,3,1,F
206,WNC,38.249245,127.13025,4235122.857,336391.299,3,1,F
207,WNC,38.270061,127.113686,4237462.229,334988.8056,3,1,F
208,WNC,38.271123,127.119468,4237569.864,335497.0918,3,1,F
209,WNC,38.269785,127.120342,4237419.791,335570.5667,3,1,F
210,WNC,38.262607,127.120045,4236623.799,335528.3887,2,0,F
211,WNC,38.26056,127.117796,4236400.607,335326.9404,2,0,F
212,WNC,38.261211,127.117453,4236473.5,335298.3859,3,1,F
213,WNC,38.26132,127.113272,4236492.964,334932.791,3,1,F
214,WNC,38.26152,127.11362,4236514.607,334963.7225,3,1,F
215,WNC,38.265891,127.122,4236984.705,335706.8086,2,0,F
216,WNC,38.265287,127.120887,4236919.675,335608.0406,1,0,N
217,WNC,38.266064,127.124286,4236999.824,335907.1806,3,1,F
218,WNC,38.265076,127.123576,4236891.492,335842.8285,4,0,N
219,WNC,38.2596,127.112485,4236303.57,334860.0826,6,1,N
220,WNC,38.257941,127.102667,4236136.986,333997.2183,4,2,F
221,WNC,38.255488,127.084495,4235897.587,332401.5175,4,2,F
222,WNC,38.268834,127.101606,4237347.749,333929.1897,9,2,N
223,WNC,38.268316,127.105451,4237283.369,334264.4547,3,1,F
224,WNC,38.256322,127.091527,4235977.347,333018.7831,3,1,F
225,WNC,38.256644,127.083033,4236028.544,332276.3117,3,1,F
226,WNC,38.266517,127.106231,4237082.318,334328.6271,2,0,F
227,WNC,38.250774,127.079505,4235383.452,331954.0641,2,0,F
228,WNC,38.269511,127.132709,4237367.41,336651.8709,20,3,N
229,WNC,38.268676,127.134854,4237271.016,336837.6765,2,0,F
230,WNC,38.266182,127.13542,4236993.297,336881.5809,4,2,F
231,WNC,38.267463,127.13208,4237141.264,336592.2327,4,2,F
232,WNC,38.273122,127.12902,4237774.678,336337.2289,4,2,F
233,WNC,38.266982,127.138837,4237075.956,337182.3267,4,2,F
234,WNC,38.268583,127.140894,4237250.055,337365.8384,4,2,F
235,WNC,38.266226,127.149283,4236973.803,338094.5422,3,1,F
236,WNC,38.267509,127.142232,4237128.494,337480.472,3,1,F
237,WNC,38.266911,127.138079,4237069.488,337115.8185,3,1,F
238,WNC,38.268083,127.138684,4237198.496,337171.3448,3,1,F
239,WNC,38.268421,127.139949,4237233.677,337282.7921,3,1,F
240,WNC,38.270065,127.142559,4237411.616,337514.8061,3,1,F
241,WNC,38.267488,127.140506,4237129.202,337329.451,3,1,F
242,WNC,38.269135,127.129708,4237331.005,336388.4982,3,1,F
243,WNC,38.266775,127.147867,4237037.207,337971.8504,4,2,F
244,WNC,38.265556,127.14349,4236909.61,337586.2564,4,2,F
245,WNC,38.2809,127.164981,4238574.786,339500.2639,3,1,F
246,WNC,38.261957,127.147245,4236503.6,337906.7563,4,2,F
247,WNC,38.260267,127.138205,4236331.966,337112.0367,4,2,F
248,WNC,38.255603,127.142028,4235807.671,337436.1215,4,2,F
249,WNC,38.254344,127.143199,4235665.881,337535.777,4,2,F
250,WNC,38.26435,127.147389,4236768.881,337924.6881,3,1,F
251,WNC,38.258896,127.137256,4236181.495,337025.9569,3,1,F
252,WNC,38.260693,127.140973,4236374.389,337355.1425,2,0,F
253,WNC,38.259021,127.13989,4236190.704,337256.6694,2,0,F
254,WNC,38.25229,127.142631,4235438.991,337481.4907,2,0,F
255,WNC,38.253245,127.145494,4235539.935,337734.1892,16,0,N
256,WNC,38.266197,127.151726,4236966.291,338308.2168,20,2,N
257,WNC,38.27431,127.161538,4237849.428,339184.5998,2,0,F
258,WNC,38.272021,127.159656,4237598.734,339014.8437,3,1,F
259,WNC,38.272375,127.155716,4237644.918,338671.005,3,1,F
260,WNC,38.271144,127.157663,4237504.829,338838.5841,3,1,F
261,WNC,38.267026,127.152667,4237056.601,338392.3536,3,1,F
262,WNC,38.268257,127.158966,4237182.226,338946.2288,33,?,N
263,WNC,38.279957,127.160714,4238477.584,339124.9648,2,0,F
264,WNC,38.277902,127.160461,4238249.948,339098.2575,2,0,F
265,WNC,38.277461,127.15815,4238204.982,338895.1803,2,0,F
266,WNC,38.278363,127.15388,4238312.626,338523.5784,2,0,F
267,WNC,38.285163,127.167277,4239043.855,339710.459,2,0,F
268,WNC,38.2809,127.164981,4238574.786,339500.2639,3,1,F
269,WNC,38.264344,127.155704,4236753.744,338652.157,3,1,F
270,WNC,38.260497,127.158418,4236322.052,338881.0749,4,2,F
271,WNC,38.264084,127.152461,4236730.51,338367.81,4,2,F
272,WNC,38.264104,127.15391,4236730.178,338494.6299,4,2,F
273,WNC,38.255215,127.179275,4235699.813,340694.4335,4,2,F
274,WNC,38.248192,127.172622,4234931.905,340096.9377,4,2,F
275,WNC,38.240054,127.177717,4234020.043,340525.0493,4,2,F
276,WNC,38.259102,127.175305,4236138.001,340355.5988,3,1,F
277,WNC,38.25354,127.174494,4235522.169,340272.4903,3,1,F
278,WNC,38.245383,127.170431,4234623.943,339899.0613,3,1,F
