No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
1,WNC,38.211493,127.26266,4230707.751,347899.7766,4,1,N
2,WNC,38.275307,127.266773,4237782.309,348392.5126,3,1,F
3,WNC,38.282921,127.262964,4238633.518,348075.1973,4,0,N
4,WNC,38.297863,127.248431,4240315.624,346835.4375,4,2,F
5,WNC,38.297575,127.249061,4240282.558,346889.9214,3,1,F
6,WNC,38.29281,127.244486,4239761.367,346479.7422,2,0,F
7,WNC,38.28329,127.246781,4238701.108,346660.4969,2,0,F
8,WNC,38.286123,127.263902,4238987.237,348163.9456,2,0,F
9,WNC,38.285344,127.258792,4238909.257,347715.3178,2,0,F
10,WNC,38.292094,127.244562,4239681.809,346484.8956,3,1,F
11,WNC,38.289639,127.245621,4239407.656,346572.4099,3,1,F
12,WNC,38.28914,127.245337,4239352.733,346546.4646,3,1,F
13,WNC,38.286157,127.245993,4239020.646,346597.5591,3,1,F
14,WNC,38.286053,127.265998,4238976.018,348347.1258,4,2,F
15,WNC,38.27863,127.264984,4238153.972,348242.9422,3,1,F
16,WNC,38.286227,127.2617,4239002.408,347971.5542,3,1,F
17,WNC,38.284428,127.261766,4238802.705,347973.5426,4,2,F
18,WNC,38.283856,127.258732,4238744.157,347707.0167,120,?,N
19,WNC,38.288445,127.253439,4239262.203,347253.6121,7,0,N
20,WNC,38.284934,127.253243,4238872.904,347229.1561,2,0,F
21,WNC,38.283775,127.250062,4238749.487,346948.5055,2,1,F
22,WNC,38.280988,127.251908,4238437.186,347104.0816,2,0,F
23,WNC,38.282174,127.249074,4238573.518,346858.7099,4,2,F
24,WNC,38.279637,127.250263,4238289.958,346957.3874,4,2,F
25,WNC,38.279382,127.247932,4238265.601,346752.8762,2,0,F
26,WNC,38.268546,127.252165,4237056.064,347100.4279,2,0,F
27,WNC,38.272151,127.26188,4237440.087,347957.8719,2,0,F
28,WNC,38.27161,127.26175,4237380.251,347945.3657,2,0,F
29,WNC,38.272292,127.258214,4237461.758,347637.4663,2,0,F
30,WNC,38.275404,127.253803,4237814.408,347258.1739,2,0,F
31,WNC,38.276256,127.254422,4237907.94,347314.111,2,0,F
32,WNC,38.275307,127.266773,4237782.309,348392.5126,3,1,F
33,WNC,38.275527,127.255884,4237824.66,347440.4067,3,1,F
34,WNC,38.276848,127.249062,4237982.529,346846.4211,4,1,N
35,WNC,38.266881,127.256761,4236863.693,347499.026,4,2,F
