No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
1,RCC,38.256287,127.246318,4235705.408,346563.1306,8,2,N
2,RCC,38.254105,127.244857,4235465.643,346430.7121,2,1,F
3,RCC,38.257703,127.247934,4235859.873,346707.5309,11,1,N
4,RCC,38.258977,127.245628,4236005.059,346508.3844,3,1,F
5,RCC,38.258091,127.246312,4235905.641,346566.4125,3,1,F
6,RCC,38.258233,127.236553,4235937.572,345712.7712,4,2,F
7,RCC,38.261514,127.262377,4236258.92,347979.2388,2,0,F
8,RCC,38.262553,127.259274,4236379.377,347709.8866,4,0,N
9,RCC,38.25802,127.259136,4235876.576,347688.3447,6,0,N
10,RCC,38.261912,127.254968,4236315.305,347331.7689,4,2,F
11,RCC,38.264978,127.253077,4236658.638,347172.7623,4,2,F
12,RCC,38.258642,127.258626,4235946.37,347644.9765,3,1,F
13,RCC,38.264057,127.255018,4236553.247,347340.6248,3,1,F
14,RCC,38.297854,127.257906,4240298.905,347663.9851,2,0,F
15,RCC,38.290655,127.262577,4239492.308,348057.4243,4,2,F
16,RCC,38.289345,127.278624,4239320.726,349458.2305,4,2,F
17,RCC,38.291512,127.274537,4239567.82,349105.2118,4,0,N
18,RCC,38.290348,127.276033,4239436.2,349233.6685,4,0,N
19,RCC,38.292754,127.272684,4239708.726,348945.8064,3,1,F
20,RCC,38.28493,127.268769,4238846.903,348587.1308,3,1,F
21,RCC,38.284157,127.272867,4238754.435,348943.9818,3,1,F
22,RCC,38.286315,127.273657,4238992.638,349017.5301,3,1,F
23,RCC,38.295166,127.212674,4240076.195,343702.7024,3,1,F
24,RCC,38.295046,127.210225,4240067,343488.2491,2,0,F
25,RCC,38.290769,127.208678,4239594.978,343343.7051,2,0,F
26,RCC,38.294569,127.210762,4240013.17,343534.1306,4,2,F
27,RCC,38.273055,127.203624,4237637.864,342863.5419,3,1,F
28,RCC,38.278946,127.20806,4238283.995,343264.2976,3,1,F
29,RCC,38.281661,127.210605,4238580.996,343492.7173,3,1,F
30,RCC,38.276007,127.216541,4237943.509,343999.8176,2,0,F
31,RCC,38.279742,127.210747,4238367.849,343500.9681,2,0,F
32,RCC,38.281361,127.201948,4238562.364,342734.808,2,0,F
33,RCC,38.283211,127.217932,4238740.622,344136.8912,2,0,F
34,RCC,38.281809,127.217216,4238586.308,344071.2526,2,0,F
35,RCC,38.295515,127.218752,4240104.614,344234.9287,4,2,F
36,RCC,38.290344,127.211539,4239543.001,343593.0471,2,0,F
37,RCC,38.284456,127.208388,4238894.875,343304.7712,2,0,F
38,RCC,38.300445,127.222722,4240645.022,344592.6876,2,0,F
39,RCC,38.303971,127.224949,4241032.513,344794.9523,3,1,F
40,RCC,38.294651,127.220599,4240005.62,344394.6264,3,1,F
41,RCC,38.295995,127.221816,4240152.779,344503.9102,3,1,F
42,RCC,38.260543,127.26669,4236144.098,348354.5746,2,0,F
43,RCC,38.263459,127.271588,4236459.67,348789.189,2,0,F
44,RCC,38.260803,127.267678,4236171.361,348441.509,3,1,F
45,RCC,38.262493,127.268912,4236356.826,348552.9817,3,1,F
46,RCC,38.281915,127.250098,4238543.052,346947.6805,3,1,F
47,RCC,38.280415,127.26123,4238358.196,347918.277,2,0,F
48,RCC,38.285465,127.252419,4238933.12,347158.2031,4,2,F
49,RCC,38.28196,127.257875,4238535.165,347628.0845,4,2,F
50,RCC,38.287602,127.251377,4239172.022,347071.4879,4,2,F
51,RCC,38.282865,127.250995,4238647.043,347028.1252,4,2,F
52,RCC,38.283707,127.252391,4238738.127,347152.0122,4,2,F
53,RCC,38.288713,127.250825,4239296.229,347025.5744,4,2,F
54,RCC,38.289974,127.253952,4239430.958,347301.7406,4,2,F
55,RCC,38.290364,127.253103,4239475.631,347228.2899,3,1,F
56,RCC,38.289764,127.256428,4239403.562,347517.7905,3,1,F
57,RCC,38.294793,127.248298,4239975.15,346817.36,2,0,F
58,RCC,38.282144,127.253248,4238563.313,347223.677,2,0,F
59,RCC,38.28542,127.257498,4238919.787,347602.2959,37,3,N
60,RCC,38.286188,127.25388,4239010.93,347287.504,6,2,N
61,RCC,38.288585,127.257315,4239271.345,347592.8935,4,0,N
62,RCC,38.273825,127.263624,4237622.972,348113.9781,3,1,F
63,RCC,38.272645,127.255254,4237505.856,347379.3196,3,1,F
64,RCC,38.273024,127.258394,4237542.721,347654.7966,2,0,F
