Y_PROJ,X_PROJ,IND,Juv,F
4237290.901019,352019.145509,5,0,N
4237914.289243,344116.188103,5,1,N
4238805.087219,346527.917605,5,2,F
4236734.853384,335371.94435,6,0,N
4237946.165361,346011.567013,6,2,N
4238526.249824,348097.449245,9,1,N
4237889.538824,340730.842807,11,2,N
4234355.23681,339334.164455,15,1,N
4237606.296259,348096.615545,15,5,N
4236689.871383,345474.381258,23,?,N
4236296.965273,336310.880667,25,0,N
4239147.016162,357512.729293,26,?,N
4238506.255888,348159.218945,35,5,N
4239220.627503,346417.799453,41,5,N
4237578.398412,340329.146414,42,?,N
4237027.434696,335847.836469,50,2,N
4235837.035373,336350.572022,55,2,N
4240274.180356,357553.206481,69,?,N
4236008.212957,350482.081757,250,5,N
