No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
1,RCC,38.259479,127.139067,4236242.97,337185.6815,4,0,N
2,RCC,38.256714,127.142252,4235930.549,337458.2322,2,0,F
3,RCC,38.257184,127.139397,4235987.688,337209.4479,2,0,F
4,RCC,38.256528,127.13984,4235914.192,337246.6936,2,0,F
5,RCC,38.255181,127.140121,4235764.121,337268.321,2,0,F
6,RCC,38.254761,127.13996,4235717.876,337253.2584,2,0,F
7,RCC,38.258844,127.14125,4236168.709,337375.2398,3,1,F
8,RCC,38.261427,127.138204,4236460.694,337114.5163,4,0,N
9,RCC,38.276105,127.159221,4238052.662,338985.8292,1,0,N
10,RCC,38.273986,127.155187,4237824.585,338628.2575,2,0,F
11,RCC,38.2698,127.158514,4237354.223,338910.0856,2,0,F
12,RCC,38.270343,127.155659,4237419.453,338661.4661,2,0,F
13,RCC,38.274005,127.170667,4237799.788,339982.5032,2,0,F
14,RCC,38.274186,127.169785,4237821.419,339905.7208,3,1,F
15,RCC,38.269851,127.155939,4237364.413,338684.8502,3,1,F
16,RCC,38.272321,127.163963,4237624.514,339392.3358,4,2,F
17,RCC,38.275896,127.167112,4238015.783,339675.702,1,0,N
18,RCC,38.275473,127.163771,4237974.628,339382.4815,2,0,F
19,RCC,38.268146,127.139858,4237203.363,337274.2734,2,0,F
20,RCC,38.265428,127.145783,4236891.343,337786.549,3,1,F
21,RCC,38.264881,127.145227,4236831.577,337736.7115,3,1,F
22,RCC,38.271325,127.133474,4237567.426,336722.816,3,1,F
23,RCC,38.265107,127.13649,4236872.032,336972.8252,3,1,F
24,RCC,38.265009,127.139579,4236855.794,337242.8199,3,1,F
25,RCC,38.271276,127.134359,4237560.358,336800.1813,2,0,F
26,RCC,38.269777,127.138064,4237387.499,337120.9003,2,0,F
27,RCC,38.269605,127.138739,4237367.213,337179.6096,2,0,F
28,RCC,38.269423,127.140379,4237344.18,337322.6686,2,0,F
29,RCC,38.268976,127.145836,4237285.029,337799.0477,2,0,F
30,RCC,38.265631,127.143735,4236917.507,337607.8491,4,2,F
31,RCC,38.243208,127.176997,4234371.326,340468.8953,3,1,F
32,RCC,38.242149,127.176559,4234254.535,340428.2473,3,1,F
33,RCC,38.242383,127.176942,4234279.894,340462.2543,2,0,F
34,RCC,38.250931,127.171264,4235238.204,339984.0765,2,0,F
35,RCC,38.249755,127.12901,4235181.677,336283.8987,2,0,F
36,RCC,38.257035,127.129409,4235988.781,336335.1281,2,0,F
37,RCC,38.257479,127.128044,4236040.488,336216.6853,2,0,F
38,RCC,38.258162,127.127209,4236117.759,336145.1387,2,0,F
39,RCC,38.2605,127.128908,4236374.2,336299.0651,2,0,F
40,RCC,38.265035,127.127722,4236879.564,336205.5003,2,0,F
41,RCC,38.264307,127.128103,4236798.07,336237.1732,3,1,F
42,RCC,38.256839,127.127591,4235970.231,336175.6028,3,1,F
43,RCC,38.251826,127.128077,4235413.164,336206.8696,3,1,F
44,RCC,38.270384,127.123521,4237480.549,335850.0133,3,1,F
45,RCC,38.264323,127.119691,4236814.843,335501.2233,3,1,F
46,RCC,38.264751,127.117549,4236866.145,335314.7877,2,0,F
47,RCC,38.274943,127.119038,4237994.494,335468.0815,2,1,F
48,RCC,38.272002,127.121547,4237663.632,335680.9057,4,2,F
49,RCC,38.270368,127.122858,4237479.954,335791.9601,4,2,F
50,RCC,38.269357,127.123429,4237366.791,335839.6361,4,2,F
51,RCC,38.257378,127.099205,4236080.798,333692.9986,2,0,F
52,RCC,38.259603,127.102349,4236321.982,333973.2023,2,0,F
53,RCC,38.261568,127.103569,4236537.926,334084.3999,2,0,F
54,RCC,38.262748,127.104566,4236667.066,334174.3138,3,1,F
55,RCC,38.264262,127.105737,4236832.968,334280.2222,3,1,F
56,RCC,38.266776,127.106255,4237111.045,334331.2748,3,1,F
57,RCC,38.260514,127.102553,4236422.722,333993.1317,2,0,F
58,RCC,38.274697,127.193149,4237837.89,341950.7481,1,0,N
59,RCC,38.282676,127.182692,4238741.282,341053.3932,2,0,F
60,RCC,38.27886,127.189708,4238305.805,341658.7493,2,0,F
61,RCC,38.271773,127.186307,4237525.14,341345.8656,2,0,F
62,RCC,38.27136,127.180763,4237488.858,340859.8872,2,0,F
63,RCC,38.270693,127.18222,4237412.293,340985.9471,2,0,F
64,RCC,38.268595,127.179346,4237184.409,340729.9329,2,0,F
65,RCC,38.275141,127.180801,4237908.344,340871.5277,3,1,F
66,RCC,38.272281,127.189182,4237576.635,341598.4151,3,1,F
67,RCC,38.275142,127.193513,4237886.64,341983.5559,2,0,F
68,RCC,38.277176,127.195579,4238108.835,342168.6452,4,0,N
69,RCC,38.273838,127.186186,4237754.55,341339.7335,5,0,N
70,RCC,38.271106,127.179629,4237462.572,340760.1608,4,1,N
71,RCC,38.283892,127.197043,4238851.643,342311.2283,2,0,F
72,RCC,38.282043,127.19489,4238650.158,342118.9801,4,2,F
73,RCC,38.288323,127.198911,4239340.154,342484.2302,3,1,F
74,RCC,38.285454,127.19619,4239026.443,342240.0218,1,0,N
75,RCC,38.284561,127.203012,4238915.742,342834.8389,2,0,F
76,RCC,38.284594,127.195865,4238931.48,342209.7403,2,0,F
