No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
1,RCC,38.282367,127.260914,4238575.323,347894.6829,4,2,F
2,RCC,38.284077,127.247102,4238787.927,346690.1987,2,0,F
3,RCC,38.293125,127.245148,4239795.2,346538.3641,4,2,F
4,RCC,38.298207,127.24928,4240352.304,346910.4045,4,2,F
5,RCC,38.285276,127.259388,4238900.688,347767.3236,2,1,F
6,RCC,38.28861,127.258533,4239272.091,347699.5007,30,0,N
7,RCC,38.287073,127.253395,4239109.948,347246.9016,3,1,F
8,RCC,38.285638,127.253196,4238951.134,347226.5055,4,2,F
9,RCC,38.285362,127.25401,4238919.081,347297.1064,20,3,N
10,RCC,38.268712,127.25169,4237075.341,347059.2715,3,1,F
11,RCC,38.264976,127.255394,4236654.647,347375.4704,4,2,F
12,RCC,38.256276,127.27918,4235650.192,349438.5327,3,1,F
13,RCC,38.251172,127.260324,4235114.648,347777.971,3,1,F
14,RCC,38.295164,127.274199,4239973.661,349083.2764,3,1,F
15,RCC,38.294416,127.273696,4239891.45,349037.689,3,1,F
16,RCC,38.288905,127.273858,4239279.629,349040.4519,4,2,F
17,RCC,38.291184,127.265256,4239546.634,348292.8371,3,0,N
18,RCC,38.290363,127.270647,4239446.724,348762.6262,1,0,N
19,RCC,38.287911,127.270168,4239175.438,348715.6689,8,8,N
20,RCC,38.285473,127.271855,4238902.055,348858.1458,2,0,F
21,RCC,38.286527,127.265558,4239029.367,348309.5972,3,1,F
22,RCC,38.297054,127.254122,4240216.381,347331.3875,4,2,F
23,RCC,38.299278,127.239716,4240487.108,346076.2912,2,0,F
24,RCC,38.29859,127.241432,4240407.917,346224.9188,3,1,F
25,RCC,38.296011,127.245117,4240115.53,346541.7533,3,1,F
26,RCC,38.293975,127.237777,4239901.824,345895.4785,2,0,F
27,RCC,38.293344,127.237594,4239832.067,345878.13,2,0,F
28,RCC,38.290356,127.241322,4239494.289,346197.927,4,4,N
29,RCC,38.301771,127.229325,4240781.087,345172.9263,3,1,F
30,RCC,38.287653,127.226455,4239219.214,344891.8794,9,9,N
31,RCC,38.287746,127.225327,4239231.38,344793.3962,11,0,N
32,RCC,38.28827,127.232087,4239278.276,345385.7667,4,2,F
33,RCC,38.286921,127.22981,4239132.394,345183.7718,4,0,N
34,RCC,38.285394,127.230251,4238962.164,345219.0575,4,2,F
35,RCC,38.286522,127.228227,4239090.738,345044.423,9,0,N
36,RCC,38.284184,127.240653,4238810.502,346126.3253,4,0,N
37,RCC,38.283549,127.241249,4238739.133,346177.1758,4,2,F
38,RCC,38.283318,127.24047,4238714.753,346108.481,1,1,N
39,RCC,38.283405,127.230617,4238740.82,345246.8852,3,1,F
40,RCC,38.283664,127.228485,4238773.199,345060.9209,2,0,F
41,RCC,38.28373,127.221884,4238791.539,344483.7259,2,0,F
42,RCC,38.283037,127.221956,4238714.562,344488.492,3,1,F
43,RCC,38.279944,127.219135,4238376.114,344235.1215,3,1,F
44,RCC,38.280494,127.21888,4238437.562,344214.0316,3,1,F
45,RCC,38.274118,127.220794,4237726.742,344367.8514,3,1,F
46,RCC,38.280958,127.24455,4238446.038,346460.4433,3,1,F
47,RCC,38.280289,127.242518,4238375.239,346281.286,3,1,F
48,RCC,38.277338,127.243661,4238045.867,346375.0007,3,1,F
