No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
1,RCC,38.278307,127.206732,4238215.39,343146.7231,1,0,N
2,RCC,38.272297,127.222688,4237521.524,344529.7121,2,0,F
3,RCC,38.280456,127.229685,4238415.211,345159.099,2,0,F
4,RCC,38.279149,127.22675,4238275.121,344899.5985,2,0,F
5,RCC,38.288416,127.221292,4239312.666,344441.9441,2,0,F
6,RCC,38.289556,127.213266,4239452.647,343742.4103,2,0,F
7,RCC,38.291488,127.224181,4239648.624,344701.2245,2,0,F
8,RCC,38.29057,127.22197,4239550.478,344505.898,2,0,F
9,RCC,38.286681,127.219003,4239123.937,344238.0937,2,0,F
10,RCC,38.282649,127.237559,4238645.368,345852.5218,2,0,F
11,RCC,38.289866,127.277633,4239380.226,349372.6483,2,0,F
12,RCC,38.286772,127.266265,4239055.466,348371.9509,2,0,F
13,RCC,38.284841,127.266338,4238841.087,348374.3701,2,0,F
14,RCC,38.285863,127.265627,4238955.619,348314.2648,2,0,F
15,RCC,38.28385,127.261427,4238739.136,347942.7377,2,0,F
16,RCC,38.283395,127.255048,4238699.199,347383.7877,2,0,F
17,RCC,38.282236,127.255999,4238568.97,347464.5846,2,0,F
18,RCC,38.273931,127.258067,4237644.024,347628.1389,2,0,F
19,RCC,38.27427,127.263512,4237672.583,348105.1245,2,0,F
20,RCC,38.276762,127.249147,4237972.849,346853.7345,2,0,F
21,RCC,38.28027,127.258529,4238346.607,347681.739,2,0,F
22,RCC,38.28767,127.259174,4239166.756,347753.6552,2,0,F
23,RCC,38.28706,127.235465,4239138.418,345678.7165,2,0,F
24,RCC,38.278104,127.225958,4238160.502,344828.1399,2,0,F
25,RCC,38.299421,127.224464,4240528.558,344742.8888,2,0,F
26,RCC,38.302377,127.218899,4240865.908,344262.5196,2,0,F
27,RCC,38.291073,127.20106,4239641.689,342678.1572,2,0,F
28,RCC,38.30246,127.232083,4240852.95,345415.5878,2,0,F
29,RCC,38.296964,127.231275,4240244.484,345333.2815,2,0,F
30,RCC,38.285186,127.221018,4238954.704,344411.0822,2,0,F
31,RCC,38.275441,127.217636,4237878.893,344094.4186,2,0,F
32,RCC,38.268928,127.202192,4237182.32,342729.4183,2,0,F
33,RCC,38.268263,127.203566,4237106.196,342848.1694,2,0,F
34,RCC,38.271975,127.207807,4237510.918,343227.2068,2,0,F
35,RCC,38.275373,127.206932,4237889.532,343157.9268,2,0,F
36,RCC,38.266872,127.204832,4236949.717,342955.914,2,0,F
37,RCC,38.268023,127.202209,4237081.891,342728.9505,2,0,F
38,RCC,38.265539,127.209154,4236794.422,343331.1592,2,0,F
39,RCC,38.273301,127.214817,4237646.266,343843.2579,2,0,F
40,RCC,38.26383,127.237273,4236557.577,345787.7142,2,0,F
41,RCC,38.257415,127.256403,4235813.989,347448.0185,2,0,F
42,RCC,38.262914,127.272139,4236398.34,348836.2609,2,0,F
43,RCC,38.269714,127.267175,4237161.043,348416.0725,2,0,F
44,RCC,38.262875,127.273412,4236391.919,348947.6032,2,0,F
45,RCC,38.260331,127.253865,4236141.697,347232.0353,2,0,F
46,RCC,38.258915,127.255423,4235981.985,347365.4131,2,0,F
47,RCC,38.259473,127.2571,4236041.159,347513.3094,2,0,F
48,RCC,38.264925,127.248338,4236660.7,346758.0474,2,0,F
49,RCC,38.260905,127.239036,4236230.008,345935.7204,2,0,F
50,RCC,38.266508,127.245142,4236841.591,346481.7781,2,0,F
51,RCC,38.293918,127.224457,4239917.812,344730.5285,2,1,F
52,RCC,38.286565,127.196471,4239149.315,342267.0511,2,0,F
53,RCC,38.290073,127.19632,4239538.873,342261.4397,2,0,F
54,RCC,38.277713,127.193742,4238171.684,342009.1694,2,0,F
55,RCC,38.27079,127.189067,4237411.367,341585.1724,2,0,F
56,RCC,38.270553,127.126898,4237493.386,336145.8489,2,0,F
57,RCC,38.26239,127.130422,4236581.338,336435.8411,2,0,F
58,RCC,38.26112,127.130202,4236440.766,336413.7205,2,0,F
59,RCC,38.260033,127.129896,4236320.72,336384.4843,2,0,F
60,RCC,38.263058,127.136862,4236644.044,337000.7932,2,0,F
61,RCC,38.264292,127.141453,4236772.942,337405.2641,2,0,F
62,RCC,38.243159,127.1812,4234358.683,340836.6742,2,0,F
63,RCC,38.267637,127.114732,4237191.404,335074.9216,2,0,F
64,RCC,38.267685,127.105255,4237213.763,334245.8867,2,0,F
65,RCC,38.256997,127.091515,4236052.357,333019.3377,2,0,F
66,RCC,38.254732,127.087035,4235809.152,332622.1007,2,0,F
67,RCC,38.268222,127.105008,4237273.745,334225.4793,2,0,F
68,RCC,38.260892,127.112985,4236446.043,334906.812,2,0,F
69,RCC,38.268021,127.116237,4237231.334,335207.469,2,0,F
70,RCC,38.267082,127.116699,4237126.394,335245.7418,2,0,F
71,RCC,38.275841,127.138084,4238060.504,337136.2536,2,0,F
72,RCC,38.275849,127.140256,4238057.569,337326.2795,2,0,F
73,RCC,38.26865,127.139352,4237260.24,337231.1398,2,0,F
74,RCC,38.27905,127.169795,4238361.239,339917.3537,2,0,F
75,RCC,38.291945,127.185963,4239764.322,341359.6728,2,0,F
76,RCC,38.278042,127.163533,4238260.165,339367.3533,2,0,F
77,RCC,38.278965,127.17366,4238345.065,340255.2255,2,0,F
78,RCC,38.279546,127.174225,4238408.615,340305.9343,2,0,F
79,RCC,38.286256,127.188711,4239128.3,341587.6522,2,0,F
80,RCC,38.290481,127.372364,4239298.306,357658.9809,2,0,F
81,RCC,38.2958,127.367336,4239896.376,357229.6899,2,0,F
82,RCC,38.304431,127.368304,4240852.545,357331.2058,2,0,F
83,RCC,38.302796,127.367129,4240672.955,357225.2943,2,0,F
84,RCC,38.300439,127.36828,4240409.607,357321.2943,2,0,F
